n_clusters,max_features,min_df,max_df,merge_small,min_cluster_size,n_clusters_final,silhouette
80,10000,7,0.2,True,15,73,0.03199607238745006
70,7000,10,0.3,True,15,65,0.03198692780324247
70,10000,10,0.3,True,15,65,0.03198692780324247
70,5000,10,0.3,True,15,65,0.03198692780324247
90,7000,7,0.15,True,15,78,0.031985968047245336
95,5000,7,0.15,True,20,70,0.031984583766529344
70,5000,5,0.15,True,15,65,0.031979573318068465
60,5000,2,0.25,True,20,58,0.03195441100908596
80,7000,7,0.25,True,15,75,0.03195095850379249
90,7000,7,0.2,True,15,80,0.03194540978217371
100,7000,7,0.15,True,15,85,0.03194342165133534
100,7000,2,0.2,True,15,85,0.03192990098202458
75,5000,5,0.2,True,20,65,0.03188973689282488
90,5000,5,0.3,True,20,70,0.03187909077853531
100,7000,2,0.11,True,15,85,0.031873605161157885
95,7000,7,0.25,True,15,85,0.031842432697380435
80,5000,2,0.15,True,15,72,0.0318039490617564
90,10000,7,0.15,True,15,80,0.031797190138347024
80,5000,5,0.15,True,20,65,0.031795009950996295
60,5000,5,0.15,True,20,55,0.03177766670611292
70,10000,10,0.2,True,15,63,0.03177664990114211
70,7000,10,0.2,True,15,63,0.03177664990114211
70,5000,10,0.2,True,15,63,0.03177664990114211
65,5000,7,0.11,True,15,62,0.0317717479884738
75,7000,7,0.11,True,15,70,0.031756936174864
65,5000,2,0.25,True,15,62,0.031720613278246476
80,7000,10,0.25,True,20,68,0.03170025227572007
80,5000,10,0.25,True,20,68,0.03170025227572007
80,10000,10,0.25,True,20,68,0.03170025227572007
75,10000,10,0.3,True,15,68,0.0316817778434047
75,7000,10,0.3,True,15,68,0.0316817778434047
75,5000,10,0.3,True,15,68,0.0316817778434047
90,5000,5,0.11,True,20,72,0.031619844925728925
95,5000,2,0.15,True,15,77,0.03160129732679982
70,5000,7,0.25,True,15,66,0.031594259794658686
75,7000,7,0.3,True,15,70,0.03158823295910052
95,7000,5,0.25,True,15,80,0.031570637524835694
70,5000,2,0.25,True,15,66,0.031553205616650405
95,7000,5,0.3,True,15,84,0.03155176370297193
90,10000,10,0.11,True,15,77,0.03154718590948696
90,7000,10,0.11,True,15,77,0.03154718590948696
90,5000,10,0.11,True,15,77,0.03154718590948696
70,7000,7,0.25,True,15,68,0.031546203274084715
80,10000,7,0.25,True,15,71,0.031520020577130714
75,5000,2,0.2,True,20,64,0.03151909587636006
95,5000,2,0.25,True,20,69,0.03151604303425322
95,5000,10,0.2,True,20,72,0.031509107364525626
95,7000,10,0.2,True,20,72,0.031509107364525626
95,10000,10,0.2,True,20,72,0.031509107364525626
80,5000,7,0.2,True,20,65,0.031503895139959256
75,5000,7,0.11,True,20,62,0.031496615777288454
70,5000,5,0.25,True,20,62,0.03147821215047654
80,7000,5,0.15,True,15,70,0.031406190892012936
90,7000,10,0.3,True,15,78,0.0313686867132972
90,10000,10,0.3,True,15,78,0.0313686867132972
90,5000,10,0.3,True,15,78,0.0313686867132972
60,7000,10,0.15,True,15,58,0.031362910458282024
60,5000,10,0.15,True,15,58,0.031362910458282024
60,10000,10,0.15,True,15,58,0.031362910458282024
60,5000,2,0.11,True,20,56,0.03135501074874328
70,5000,2,0.11,True,15,66,0.03134834811130547
95,7000,7,0.3,True,15,79,0.031344528853105666
80,10000,7,0.3,True,15,75,0.031342326905141174
95,7000,2,0.3,True,15,81,0.031326075799070784
65,5000,5,0.25,True,15,60,0.0313033839573262
65,5000,2,0.25,True,20,61,0.03130153568894989
70,7000,5,0.15,True,15,67,0.031293406155770434
65,5000,2,0.3,True,15,63,0.03127126250223309
60,5000,7,0.2,True,15,58,0.03127001030667194
65,5000,2,0.11,True,15,61,0.03126973308397228
90,7000,2,0.15,True,15,78,0.0312678861271459
70,5000,5,0.15,True,20,61,0.03125705295919899
65,5000,7,0.25,True,20,61,0.03123410145722813
100,5000,2,0.11,True,20,71,0.03122609560354467
90,7000,7,0.25,True,20,74,0.0311826440034347
60,5000,2,0.2,True,20,56,0.031170943992437694
60,5000,10,0.2,True,15,59,0.031164503484499426
60,10000,10,0.2,True,15,59,0.031164503484499426
60,7000,10,0.2,True,15,59,0.031164503484499426
80,7000,7,0.11,True,20,70,0.03116186728486113
70,7000,5,0.11,True,15,66,0.03116186266194193
65,5000,7,0.2,True,15,62,0.03115091177307441
95,5000,10,0.25,True,20,69,0.0311423577543768
95,10000,10,0.25,True,20,69,0.0311423577543768
95,7000,10,0.25,True,20,69,0.0311423577543768
75,7000,7,0.15,True,15,69,0.031136153586612703
90,5000,7,0.11,True,15,76,0.0311266513306815
65,10000,10,0.11,True,15,62,0.031119031428259614
65,7000,10,0.11,True,15,62,0.031119031428259614
65,5000,10,0.11,True,15,62,0.031119031428259614
95,7000,2,0.11,True,15,84,0.031094675321908793
80,5000,5,0.25,True,15,71,0.03107638486982129
70,7000,5,0.3,True,15,68,0.031062796251295304
95,10000,7,0.11,True,15,81,0.03105506791595261
65,5000,10,0.15,True,15,62,0.031046055482149972
65,7000,10,0.15,True,15,62,0.031046055482149972
65,10000,10,0.15,True,15,62,0.031046055482149972
100,5000,7,0.15,True,20,73,0.03103320591012233
65,7000,7,0.2,True,15,63,0.03102779641294659
100,7000,10,0.25,True,15,87,0.031027010631364253
100,5000,10,0.25,True,15,87,0.031027010631364253
100,10000,10,0.25,True,15,87,0.031027010631364253
75,5000,5,0.25,True,20,68,0.03102135948435691
80,5000,5,0.11,True,20,66,0.03101739071714301
100,10000,7,0.2,True,15,86,0.031016354177961017
80,5000,10,0.11,True,20,67,0.03101272653067009
80,10000,10,0.11,True,20,67,0.03101272653067009
80,7000,10,0.11,True,20,67,0.03101272653067009
95,7000,5,0.2,True,15,80,0.031007677347737673
60,5000,7,0.15,True,15,57,0.031004540624582785
60,5000,5,0.25,True,15,59,0.03098849814922763
60,10000,10,0.15,True,20,57,0.030983342043492814
60,5000,10,0.15,True,20,57,0.030983342043492814
60,7000,10,0.15,True,20,57,0.030983342043492814
95,7000,5,0.11,True,15,80,0.030980437224796303
100,7000,2,0.25,True,20,74,0.03096324370554474
65,5000,2,0.15,True,15,61,0.030963016015365358
80,5000,2,0.3,True,20,66,0.030953749267824283
70,5000,7,0.15,True,15,65,0.030950946706599345
95,10000,10,0.15,True,20,71,0.03094058679817589
95,5000,10,0.15,True,20,71,0.03094058679817589
95,7000,10,0.15,True,20,71,0.03094058679817589
65,7000,5,0.25,True,15,63,0.03093355196962024
60,5000,7,0.3,True,15,57,0.03093291990522601
75,5000,5,0.3,True,15,68,0.030910621221396952
95,7000,2,0.2,True,15,80,0.030906991711535357
80,7000,5,0.3,True,15,71,0.030904998382750248
65,10000,10,0.25,True,15,62,0.03089851144532339
65,5000,10,0.25,True,15,62,0.03089851144532339
65,7000,10,0.25,True,15,62,0.03089851144532339
80,7000,5,0.2,True,15,69,0.030869665780497147
80,5000,5,0.3,True,15,73,0.030862467996380694
70,7000,7,0.3,True,15,68,0.03086001626576271
